iter	Logloss
0	0.6634833027
1	0.6417617307
2	0.6261371496
3	0.6103841524
4	0.5926436965
5	0.5795024999
6	0.5646759135
7	0.5563811284
8	0.5488680496
9	0.5414446772
10	0.5348190038
11	0.5292009028
12	0.5199013721
13	0.5132851556
14	0.5089883676
15	0.502003116
16	0.4982220424
17	0.4938211504
18	0.4901840036
19	0.483075916
20	0.479269349
21	0.4743654761
22	0.4695315009
23	0.4668893014
24	0.4642516606
25	0.4615084587
26	0.4590046639
27	0.4542604949
28	0.4516235133
29	0.4483920217
30	0.4456575412
31	0.4429842945
32	0.4404992242
33	0.4367774574
34	0.4344444553
35	0.4319122162
36	0.4298224649
37	0.426941962
38	0.4242546089
39	0.422085831
40	0.420201278
41	0.4187011247
42	0.4160079901
43	0.4144496938
44	0.4121990988
45	0.4109087578
46	0.4089971059
47	0.407666386
48	0.4055573836
49	0.4035237691
50	0.4019421084
51	0.4005281848
52	0.3988260355
53	0.3972767739
54	0.395273121
55	0.3924081299
56	0.3913590465
57	0.3884419727
58	0.3862353259
59	0.3848526263
60	0.3821179505
61	0.3807984325
62	0.3795839523
63	0.3783793755
64	0.3763769645
65	0.3752914538
66	0.3724201879
67	0.3713224959
68	0.369669965
69	0.3683083982
70	0.3664269842
71	0.36445304
72	0.3632563645
73	0.3623231165
74	0.3614818054
75	0.3595010757
76	0.3580098687
77	0.357061881
78	0.3546694658
79	0.3532934451
80	0.3521856427
81	0.3507091972
82	0.3492800073
83	0.3475442801
84	0.3463125405
85	0.344938396
86	0.3436530501
87	0.3415118026
88	0.3400189061
89	0.3385264128
90	0.3369630946
91	0.3349613145
92	0.3338611683
93	0.3324755547
94	0.3309666016
95	0.3289252063
96	0.3269954943
97	0.3253264752
98	0.3235644469
99	0.3220860018
100	0.3207779263
101	0.319166179
102	0.3172997445
103	0.3159059789
104	0.3140894682
105	0.3123659269
106	0.3106680644
107	0.3091013317
108	0.307672889
109	0.306161846
110	0.3044358054
111	0.3019304993
112	0.2998167596
113	0.2983267787
114	0.2957193624
115	0.2940201427
116	0.2926506482
117	0.2913840488
118	0.2901904572
119	0.288462754
120	0.2869808841
121	0.2852000526
122	0.2835915798
123	0.2814224796
124	0.279682283
125	0.2776321539
126	0.2763860176
127	0.274670972
128	0.2735428654
129	0.2719237113
130	0.2706067222
131	0.269287946
132	0.2681503054
133	0.2668836274
134	0.2653408685
135	0.2638217777
136	0.2626228715
137	0.2615523992
138	0.2602878159
139	0.2585866019
140	0.2572323494
141	0.2559306709
142	0.2546345869
143	0.2537136551
144	0.2522343579
145	0.2509750486
146	0.2500991448
147	0.2483198855
148	0.2472916821
149	0.2461505802
150	0.2448913405
151	0.2438037743
152	0.2420642161
153	0.2411056834
154	0.2400924721
155	0.2388653753
156	0.2374682223
157	0.2365075627
158	0.2356204593
159	0.2346442187
160	0.2337191212
161	0.2329102333
162	0.2320517691
163	0.2311504951
164	0.230347776
165	0.2293677251
166	0.2282336753
167	0.2268500314
168	0.2261664624
169	0.2254319839
170	0.2242257194
171	0.2233306579
172	0.2224397362
173	0.2214611723
174	0.2202102614
175	0.2193261393
176	0.2186560091
177	0.2177772598
178	0.2169411127
179	0.2164448951
180	0.2155538562
181	0.2149286362
182	0.214208489
183	0.2130300658
184	0.2121251554
185	0.2112877301
186	0.2096798775
187	0.2089239141
188	0.2078561624
189	0.2068218106
190	0.2060492622
191	0.2053542536
192	0.2047920196
193	0.2038309614
194	0.2034129664
195	0.2028729583
196	0.2020138154
197	0.201334802
198	0.2009058351
199	0.200162717
